key	keyword	definition	description	source
Operator	operator	 cooperators of Opus Dei 	Wikimedia disambiguation page	wikipedia
Operator	operator	someone who owns or operates a business	operator	wordnet
Operator	operator	a person or company that runs a business.	NA	owlbot
Operator	operator	Operators are located in subways	NA	GenericsKB
Vehicle	vehicle	A vehicle is a machine that transports people or cargo. Vehicles include wagons, bicycles, motor vehicles , railed vehicles , watercraft , amphibious vehicles , aircraft and spacecraft. Land vehicles are classified broadly by what is used to apply steering and drive forces against the ground: wheeled, tracked, railed or skied. ISO 3833-1977 is the standard, also internationally used in legislation, for road vehicles types, terms and definitions.	mobile machine that transports people, animals or cargo	wikipedia
Vehicle	vehicle	a conveyance that transports people or objects	vehicle	wordnet
Vehicle	vehicle	a thing used to express, embody, or fulfil something.	NA	owlbot
Vehicle	vehicle	Vehicle is a transport	NA	GenericsKB
Start	start	Choi Sung-hee , known professionally as Bada , is a South Korean singer, composer, musical actress and television presenter	South Korean singer, member of S.E.S.	wikipedia
Start	start	a line indicating the location of the start of a race or a game	start, starting_line, scratch, scratch_line	wordnet
Start	start	Strategic Arms Reduction Talks.	NA	owlbot
Start	start	Starts are lines	NA	GenericsKB
Via	via	Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington	American multinational coffee company	wikipedia
End	end	An electronic cigarette is an electronic device that simulates tobacco smoking	device usually used to quit or be an alternative to tobacco	wikipedia
End	end	either extremity of something that has length	end, terminal	wordnet
End	end	(in bowls and curling) a session of play in one particular direction across the playing area.	NA	owlbot
End	end	An end is an extremity	NA	GenericsKB
Length	length	Length is a measure of distance. In the International System of Quantities, length is a quantity with dimension distance. In most systems of measurement a base unit for length is chosen, from which all other units are derived. In the International System of Units system the base unit for length is the metre. Length is commonly understood to mean the most extended dimension of a fixed object. However, this is not always the case and may depend on the position the object is in. Various terms for the length of a fixed object are used, and these include height, which is vertical length or vertical extent, and width , breadth or depth. Height is used when there is a base from which vertical measurements can be taken. Width or breadth usually refer to a shorter dimension when length is the longest one. Depth is used for the third dimension of a three dimensional object. Length is the measure of one spatial dimension, whereas area is a measure of two dimensions and volume is a measure of three dimensions .	measured dimension of an object in a physical space	wikipedia
Length	length	the linear extent in space from one end to the other; the longest dimension of something that is fixed in place	length	wordnet
Length	length	the measurement or extent of something from end to end; the greater of two or the greatest of three dimensions of an object.	NA	owlbot
Length	length	Length equals meters	NA	GenericsKB
Other routes	route	A rout is a panicked, disorderly and undisciplined retreat of troops from a battlefield, following a collapse in a given unit's command authority, unit cohesion and combat morale 	disorganized retreat or fleeing	wikipedia
Other routes	routes	divert in a specified direction	route	wordnet
Other routes	routes	a way or course taken in getting from a starting point to a destination.	NA	owlbot
Other routes	route	Route is a location	NA	GenericsKB
Competition	competition	Competition arises whenever at least two parties strive for a goal which cannot be shared: where one's gain is the other's loss . It is, in general, a rivalry between two or more entities: animals, organisms, economic groups, individuals, social groups, etc., for group or social status, leadership, profit, and recognition: awards, goods, mates, prestige, a niche, scarce resources, or a territory. Competition occurs in nature, between living organisms which co-exist in the same environment. Animals compete over water supplies, food, mates, and other biological resources. Humans usually compete for food and mates, though when these needs are met deep rivalries often arise over the pursuit of wealth, power, prestige, and fame. Competition is a major tenet of market economies and business, often associated with business competition as companies are in competition with at least one other firm over the same group of customers. Competition inside a company is usually stimulated with the larger purpose of meeting and reaching higher quality of services or improved products that the company may produce or develop. Competition is often considered to be the opposite of cooperation, however in the real world, mixtures of cooperation and competition are the norm. Optimal strategies to achieve goals are studied in the branch of mathematics known as game theory. Competition has been studied in several fields, including psychology, sociology and anthropology. Social psychologists, for instance, study the nature of competition. They investigate the natural urge of competition and its circumstances. They also study group dynamics, to detect how competition emerges and what its effects are. Sociologists, meanwhile, study the effects of competition on society as a whole. In addition, anthropologists study the history and prehistory of competition in various cultures. They also investigate how competition manifested itself in various cultural settings in the past, and how competition has developed over time.	rivalry between organisms, animals, individuals, groups, etc.	wikipedia
Competition	competition	a business relation in which two parties compete to gain customers	competition	wordnet
Competition	competition	the activity or condition of striving to gain or win something by defeating or establishing superiority over others.	NA	owlbot
Competition	competition	Competition also leads to constant change in the marketplace	NA	GenericsKB
Level	level	A weighting filter is used to emphasize or suppress some aspects of a phenomenon compared to others, for measurement or other purposes	NA	wikipedia
Level	level	indicator that establishes the horizontal when a bubble is centered in a tube of liquid	level, spirit_level	wordnet
Level	level	having a flat, horizontal surface.	NA	owlbot
Level	level	Level is how loud or soft the frequency is	NA	GenericsKB
Alt. level	alt	Accelerated life testing is the process of testing a product by subjecting it to conditions in excess of its normal service parameters in an effort to uncover faults and potential modes of failure in a short amount of time	process of testing a product by subjecting it to excessive conditions beyond its normal service parameters in an effort to uncover faults and potential modes of failure	wikipedia
Alt. level	level	A weighting filter is used to emphasize or suppress some aspects of a phenomenon compared to others, for measurement or other purposes	NA	wikipedia
