index	table_id	annotator_id	premise	hypothesis	label
0	T1769	GW0	    In Rainbows was released on 10 October 2007  ( 2007-10-10 ).  In Rainbows was recorded on February 2005 - June 2007.  The length of In Rainbows is 42 : 39.  The label of In Rainbows are Self-released, Xurbia Xendless, XL, TBD.    	In Rainbows was released over ten years ago.	2
1	T1769	GW0	    In Rainbows was released on 10 October 2007  ( 2007-10-10 ).  In Rainbows was recorded on February 2005 - June 2007.  The label of In Rainbows are Self-released, Xurbia Xendless, XL, TBD.  The producer of In Rainbows is Nigel Godrich.     	Nigel Godrich has only produced one album.	1
2	T1769	GW0	    In Rainbows was released on 10 October 2007  ( 2007-10-10 ).  In Rainbows was recorded on February 2005 - June 2007.  The length of In Rainbows is 42 : 39.  The label of In Rainbows are Self-released, Xurbia Xendless, XL, TBD.    	In Rainbows is less than 40 minutes long.	0
3	T1769	GW1	    In Rainbows was released on 10 October 2007  ( 2007-10-10 ).  In Rainbows was recorded on February 2005 - June 2007.  The length of In Rainbows is 42 : 39.  The label of In Rainbows are Self-released, Xurbia Xendless, XL, TBD.    	It took over two years to record In Rainbows.	2
4	T1769	GW1	    In Rainbows is a album.  The genre of In Rainbows are Alternative rock, art rock, experimental rock, art pop.  The label of In Rainbows are Self-released, Xurbia Xendless, XL, TBD.  The producer of In Rainbows is Nigel Godrich.     	In Rainbows falls into the art pop genre more than it does the art rock one.	1
5	T1769	GW1	    In Rainbows was released on 10 October 2007  ( 2007-10-10 ).  In Rainbows was recorded on February 2005 - June 2007.  The length of In Rainbows is 42 : 39.  The label of In Rainbows are Self-released, Xurbia Xendless, XL, TBD.    	The run time of In Rainbows is over an hour.	0
6	T1769	GW2	    In Rainbows is a album.  In Rainbows was released on 10 October 2007  ( 2007-10-10 ).  In Rainbows was recorded on February 2005 - June 2007.  The label of In Rainbows are Self-released, Xurbia Xendless, XL, TBD.    	In Rainbows was released a few weeks before Halloween.	2
7	T1769	GW2	    In Rainbows was released on 10 October 2007  ( 2007-10-10 ).  In Rainbows was recorded on February 2005 - June 2007.  The length of In Rainbows is 42 : 39.  The label of In Rainbows are Self-released, Xurbia Xendless, XL, TBD.    	In Rainbows had more than 10 tracks.	1
8	T1769	GW2	    In Rainbows was released on 10 October 2007  ( 2007-10-10 ).  In Rainbows was recorded on February 2005 - June 2007.  The length of In Rainbows is 42 : 39.  The label of In Rainbows are Self-released, Xurbia Xendless, XL, TBD.    	In Rainbows was recorded in less than 60 days.	0
9	T1	GW0	    In the box office, Brooklyn made $62.1 million.   Brooklyn was distributed by Fox Searchlight Pictures  (United States), Mongrel Media  (Canada), 20th Century Fox  (International), Lionsgate  (United Kingdom).  The release date of Brooklyn are 26 January 2015  ( 2015-01-26 )  (Sundance), 6 November 2015  ( 2015-11-06 )  (United Kingdom).  The running time of Brooklyn is 112 minutes.    	Brooklyn has a run time under two hours.	2
10	T1	GW0	    The production company of Brooklyn are BBC Films, Telefilm Canada, HanWay Films, Wildgaze Films.  Brooklyn was distributed by Fox Searchlight Pictures  (United States), Mongrel Media  (Canada), 20th Century Fox  (International), Lionsgate  (United Kingdom).  The release date of Brooklyn are 26 January 2015  ( 2015-01-26 )  (Sundance), 6 November 2015  ( 2015-11-06 )  (United Kingdom).  The budget of Brooklyn is $11 million.    	Brooklyn was the highest grossing film of 2015.	1
11	T1	GW0	    In the box office, Brooklyn made $62.1 million.   The release date of Brooklyn are 26 January 2015  ( 2015-01-26 )  (Sundance), 6 November 2015  ( 2015-11-06 )  (United Kingdom).  The running time of Brooklyn is 112 minutes.  The budget of Brooklyn is $11 million.    	Brooklyn made less than 60 million dollars at the box office.	0
12	T1	GW1	    In the box office, Brooklyn made $62.1 million.   Brooklyn was distributed by Fox Searchlight Pictures  (United States), Mongrel Media  (Canada), 20th Century Fox  (International), Lionsgate  (United Kingdom).  The running time of Brooklyn is 112 minutes.  The budget of Brooklyn is $11 million.    	Brooklyn made about 50 million more at the box office than it's budget was.	2
13	T1	GW1	    Brooklyn was produced by Amanda Posey, Finola Dwyer.  Brooklyn was starring Saoirse Ronan, Domhnall Gleeson, Emory Cohen, Jim Broadbent, Julie Walters.  Brooklyn was music by Michael Brook.  The cinematography of Brooklyn was by Yves Belanger.    	Finola Dwyer did more to produce Brooklyn than Amanda Posey did.	1
